url,店舗名,住所,電話番号,営業時間,定休日,席数
https://sasp.mapion.co.jp/b/doutor/info/01010159/,ドトールコーヒーショップ 東中野店,東京都中野区東中野３‐８‐２,03-3360-7415,"平　日:
07:30 - 21:00



土曜日:
07:30 - 21:00



日　祝:
08:00 - 20:30",なし,"総席数:
64


禁煙席:
27


喫煙席:
37"
https://sasp.mapion.co.jp/b/doutor/info/01010161/,ドトールコーヒーショップ 新川永代通り店,東京都中央区新川１‐２‐１０ 新川武蔵屋ビル１Ｆ,03-3297-2785,"平　日:
07:00 - 20:00



土曜日:
07:30 - 16:30



日　祝:
-",日曜、祝日,"総席数:
35


禁煙席:
21


喫煙席:
14"
https://sasp.mapion.co.jp/b/doutor/info/01010163/,ドトールコーヒーショップ 三田３丁目店,東京都港区三田３‐４‐１１,03-3453-8254,"平　日:
07:20 - 20:00




備　考:ラストオーダー　19:30


土曜日:
08:00 - 18:30




備　考:ラストオーダー　18:00


日　祝:
08:00 - 18:30




備　考:ラストオーダー　18:00",なし,"総席数:
48


禁煙席:
29


喫煙席:
19"
https://sasp.mapion.co.jp/b/doutor/info/01010168/,ドトールコーヒーショップ 川越店,埼玉県川越市脇田町６‐５ 沼田ビル,049-224-4472,"平　日:
07:30 - 21:30



土曜日:
07:30 - 21:30



日　祝:
08:00 - 21:30",なし,"総席数:
43


禁煙席:
19


喫煙席:
24"
https://sasp.mapion.co.jp/b/doutor/info/01010169/,ドトールコーヒーショップ 東武浅草北口店,東京都台東区花川戸１‐１０‐２,03-3842-8112,"平　日:
06:00 - 17:00



土曜日:
06:00 - 17:00



日　祝:
06:00 - 17:00




備　考:日曜日は定休日となります。",日曜,"総席数:
55


禁煙席:
33


喫煙席:
22"
https://sasp.mapion.co.jp/b/doutor/info/01010171/,ドトールコーヒーショップ 銀座４丁目店,東京都中央区銀座４‐１１‐６ 銀座島倉ビル,03-3543-8922,"平　日:
06:45 - 21:20



土曜日:
07:00 - 20:00



日　祝:
07:30 - 19:00",なし,"総席数:
39


禁煙席:
28


喫煙席:
11"
https://sasp.mapion.co.jp/b/doutor/info/01010185/,ドトールコーヒーショップ 新川１丁目店,東京都中央区新川１‐４‐１１,03-3551-2660,"平　日:
07:00 - 19:00



土曜日:
07:00 - 14:00



日　祝:
-",日曜、祝日,"総席数:
52


禁煙席:
29


喫煙席:
23"
https://sasp.mapion.co.jp/b/doutor/info/01010192/,ドトールコーヒーショップ 小伝馬町店,東京都中央区日本橋小伝馬町１５‐１６,03-3664-0656,"平　日:
07:00 - 18:00



土曜日:
07:00 - 16:00



日　祝:
-",日曜、祝日,"総席数:
31


禁煙席:
19


喫煙席:
12"
https://sasp.mapion.co.jp/b/doutor/info/01010198/,ドトールコーヒーショップ 神田松永町店,東京都千代田区神田松永町１８‐１ ビオレ秋葉原１Ｆ,03-3253-1420,"平　日:
07:00 - 20:00



土曜日:
10:30 - 19:00



日　祝:
10:30 - 19:00",なし,"総席数:
59


禁煙席:
30


喫煙席:
29"
https://sasp.mapion.co.jp/b/doutor/info/01010204/,ドトールコーヒーショップ 赤坂２丁目店,東京都港区赤坂２‐１１‐１５,03-3583-7383,"平　日:
07:00 - 21:00



土曜日:
07:00 - 17:00



日　祝:
-",日曜、祝日,"総席数:
76


禁煙席:
48


喫煙席:
28"
https://sasp.mapion.co.jp/b/doutor/info/01010230/,ドトールコーヒーショップ 豊田店,東京都日野市多摩平１‐２‐１,042-584-0769,"平　日:
07:00 - 21:00



土曜日:
07:00 - 21:00



日　祝:
07:00 - 21:00",なし,"総席数:
59


禁煙席:
42


喫煙席:
17"
https://sasp.mapion.co.jp/b/doutor/info/01010242/,ドトールコーヒーショップ 中目黒店,東京都目黒区上目黒３‐３‐２,03-3713-4269,"平　日:
07:00 - 22:00



土曜日:
07:30 - 21:00



日　祝:
08:00 - 20:00",なし,"総席数:
44


禁煙席:
34


喫煙席:
10"
https://sasp.mapion.co.jp/b/doutor/info/01010251/,ドトールコーヒーショップ 調布北口店,東京都調布市小島町１‐１２‐７ 小笠原ビル１Ｆ,042-480-9888,"平　日:
07:30 - 21:00



土曜日:
07:30 - 21:00



日　祝:
08:00 - 21:00",なし,"総席数:
46


禁煙席:
26


喫煙席:
20"
https://sasp.mapion.co.jp/b/doutor/info/01010261/,ドトールコーヒーショップ 恵比寿東店,東京都渋谷区東３‐２５‐５ グランドメゾン恵比寿東,03-3446-2845,"平　日:
06:00 - 20:00



土曜日:
06:30 - 20:00



日　祝:
07:00 - 19:00",なし,"総席数:
21


禁煙席:
10


喫煙席:
11"
https://sasp.mapion.co.jp/b/doutor/info/01010267/,ドトールコーヒーショップ 東池袋１丁目店,東京都豊島区東池袋１‐１７‐３ ウェルシャン池袋１Ｆ,03-3590-7687,"平　日:
07:30 - 21:00



土曜日:
07:30 - 21:00



日　祝:
08:00 - 20:00",なし,"総席数:
28


禁煙席:
17


喫煙席:
11"
https://sasp.mapion.co.jp/b/doutor/info/01010269/,ドトールコーヒーショップ 外神田１丁目店,東京都千代田区外神田１‐６‐６,03-3251-3803,"平　日:
07:00 - 20:00



土曜日:
08:00 - 20:00



日　祝:
08:30 - 20:00",なし,"総席数:
56


禁煙席:
27


喫煙席:
29"
https://sasp.mapion.co.jp/b/doutor/info/01010270/,ドトールコーヒーショップ 新杉田店,神奈川県横浜市磯子区新杉田町３‐６,045-774-2325,"平　日:
07:00 - 21:00



土曜日:
07:00 - 21:00



日　祝:
08:00 - 20:00",なし,"総席数:
45


禁煙席:
27


喫煙席:
18"
https://sasp.mapion.co.jp/b/doutor/info/01010283/,ドトールコーヒーショップ 日立店,茨城県日立市幸町１‐１５‐４,0294-22-2733,"平　日:
07:00 - 21:00



土曜日:
08:00 - 21:00



日　祝:
08:00 - 21:00",なし,"総席数:
35


禁煙席:
25


喫煙席:
10"
https://sasp.mapion.co.jp/b/doutor/info/01010293/,ドトールコーヒーショップ 大手町ファーストスクエア店,東京都千代田区大手町１‐５‐１ 大手町ファーストスクエアビルＢ１Ｆ,03-3217-0830,"平　日:
06:45 - 20:30



土曜日:
-



日　祝:
-",日曜、祝日、土曜,"総席数:
27


禁煙席:
27


喫煙席:

-"
https://sasp.mapion.co.jp/b/doutor/info/01010294/,ドトールコーヒーショップ 代々木店,東京都渋谷区代々木１‐３６‐７ 代々木駅前ビル１Ｆ,03-3370-5520,"平　日:
07:00 - 22:00



土曜日:
07:00 - 22:00



日　祝:
08:00 - 21:00",なし,"総席数:
53


禁煙席:
20


喫煙席:
33"
https://sasp.mapion.co.jp/b/doutor/info/01010295/,ドトールコーヒーショップ 日本橋小舟町店,東京都中央区日本橋小舟町１１‐８,03-5695-1680,"平　日:
07:00 - 18:00



土曜日:
07:30 - 14:00



日　祝:
-",日曜、祝日,"総席数:
64


禁煙席:
22


喫煙席:
42"
https://sasp.mapion.co.jp/b/doutor/info/01010312/,ドトールコーヒーショップ 仙台泉中央店,宮城県仙台市泉区泉中央１‐５‐１ アリオ仙台泉店内,022-374-8606,"平　日:
10:00 - 21:00



土曜日:
10:00 - 21:00



日　祝:
10:00 - 21:00",なし,"総席数:
44


禁煙席:
20


喫煙席:
24"
https://sasp.mapion.co.jp/b/doutor/info/01010316/,ドトールコーヒーショップ 大船ルミネウィング店,神奈川県鎌倉市大船１‐４‐１,0467-46-4444,"平　日:
07:00 - 21:30



土曜日:
07:00 - 21:30



日　祝:
07:30 - 21:30",なし,"総席数:
52


禁煙席:
39


喫煙席:
13"
https://sasp.mapion.co.jp/b/doutor/info/01010319/,ドトールコーヒーショップ 曙橋店,東京都新宿区住吉町７‐１ 福松ビル１Ｆ,03-3355-1565,"平　日:
07:00 - 20:00



土曜日:
07:00 - 19:00



日　祝:
-",日曜、祝日,"総席数:
49


禁煙席:
39


喫煙席:
10"
https://sasp.mapion.co.jp/b/doutor/info/01010321/,ドトールコーヒーショップ 渋谷３丁目北店,東京都渋谷区渋谷３‐６‐２ エクラート渋谷ビル,03-3406-4038,"平　日:
07:00 - 21:00



土曜日:
07:30 - 19:00



日　祝:
08:00 - 19:00",なし,"総席数:
27


禁煙席:
13


喫煙席:
14"
https://sasp.mapion.co.jp/b/doutor/info/01010322/,ドトールコーヒーショップ 神田淡路町店,東京都千代田区神田須田町１‐２‐１ カルフール神田,03-5294-0908,"平　日:
07:00 - 21:00



土曜日:
07:30 - 19:00



日　祝:
08:00 - 19:00",なし,"総席数:
38


禁煙席:
30


喫煙席:
8"
https://sasp.mapion.co.jp/b/doutor/info/01010327/,ドトールコーヒーショップ ひばりヶ丘南口店,東京都西東京市住吉町３‐９‐８,042-422-3191,"平　日:
07:30 - 21:00



土曜日:
07:30 - 21:00



日　祝:
07:30 - 21:00",なし,"総席数:
72


禁煙席:
56


喫煙席:
16"
https://sasp.mapion.co.jp/b/doutor/info/01010332/,ドトールコーヒーショップ 蒲田東口店,東京都大田区蒲田５‐１１‐１０,03-3733-5588,"平　日:
06:30 - 22:00




備　考:金曜日　6：30～23：00、閉店時間の30分前がラストオーダー


土曜日:
07:00 - 22:00




備　考:閉店時間の30分前がラストオーダー


日　祝:
07:00 - 21:30




備　考:閉店時間の30分前がラストオーダー",なし,"総席数:
70


禁煙席:
25


喫煙席:
45"
https://sasp.mapion.co.jp/b/doutor/info/01010336/,ドトールコーヒーショップ 港南台店,神奈川県横浜市港南区港南台４‐１‐１ 寺田ショッピングセンター（テスコ）,045-834-1683,"平　日:
07:30 - 21:20




備　考:ラストオーダー　21:00


土曜日:
07:30 - 21:20




備　考:ラストオーダー　21:00


日　祝:
08:00 - 21:20




備　考:ラストオーダー　21:00",なし,"総席数:
80


禁煙席:
52


喫煙席:
28"
https://sasp.mapion.co.jp/b/doutor/info/01010337/,ドトールコーヒーショップ 鶴見西口店,神奈川県横浜市鶴見区豊岡町２‐３‐１０３ Ｆｕｇａ３内,045-583-4157,"平　日:
07:30 - 20:00



土曜日:
07:30 - 20:00



日　祝:
07:30 - 20:00",なし,"総席数:
18


禁煙席:
9


喫煙席:
9"
https://sasp.mapion.co.jp/b/doutor/info/01010346/,ドトールコーヒーショップ 浦安南口店,千葉県浦安市北栄１‐１３‐２５ 西友浦安店パート２館１Ｆ,047-381-4365,"平　日:
07:00 - 22:00



土曜日:
07:30 - 22:00



日　祝:
07:30 - 22:00",なし,"総席数:
64


禁煙席:
44


喫煙席:
20"
https://sasp.mapion.co.jp/b/doutor/info/01010349/,ドトールコーヒーショップ 浜松町１丁目店,東京都港区浜松町１‐２９‐９ ＦＡ小林ビル,03-3435-0797,"平　日:
07:00 - 21:00



土曜日:
07:30 - 20:00



日　祝:
08:30 - 19:00",なし,"総席数:
30


禁煙席:
20


喫煙席:
10"
https://sasp.mapion.co.jp/b/doutor/info/01010350/,ドトールコーヒーショップ 本八幡南口店,千葉県市川市南八幡４-１-１３ ＤＡＩＫＩＣＨＩビル,047-379-8674,"平　日:
07:00 - 22:00



土曜日:
07:00 - 22:00



日　祝:
07:00 - 21:30",なし,"総席数:
56


禁煙席:
43


喫煙席:
13"
https://sasp.mapion.co.jp/b/doutor/info/01010362/,ドトールコーヒーショップ 武蔵小山店,東京都品川区小山３‐２２‐１７,03-3781-1937,"平　日:
07:15 - 21:00



土曜日:
07:15 - 21:00



日　祝:
07:15 - 21:00",なし,"総席数:
86


禁煙席:
58


喫煙席:
28"
https://sasp.mapion.co.jp/b/doutor/info/01010364/,ドトールコーヒーショップ 沖縄イオン那覇店,沖縄県那覇市金城５-１０-２,098-852-1122,"平　日:
09:00 - 22:00



土曜日:
09:00 - 22:00



日　祝:
09:00 - 22:00",なし,"総席数:

-

禁煙席:

-

喫煙席:

-"
https://sasp.mapion.co.jp/b/doutor/info/01010368/,ドトールコーヒーショップ 田町センタービル店,東京都港区芝５‐３４‐７ 田町センタービル,03-3451-7779,"平　日:
07:10 - 20:00



土曜日:
07:30 - 19:00



日　祝:
-",日曜、祝日,"総席数:
27


禁煙席:
27


喫煙席:

-"
https://sasp.mapion.co.jp/b/doutor/info/01010385/,ドトールコーヒーショップ みなとみらい三菱重工ビル店,神奈川県横浜市西区みなとみらい３‐３‐１,045-225-0926,"平　日:
08:00 - 18:00



土曜日:
11:00 - 18:00



日　祝:
11:00 - 18:00",なし,"総席数:
67


禁煙席:
34


喫煙席:
33"
https://sasp.mapion.co.jp/b/doutor/info/01010387/,ドトールコーヒーショップ 成城学園北口店,東京都世田谷区成城６‐９‐１ 五和ビル１Ｆ,03-3789-7711,"平　日:
07:00 - 21:00



土曜日:
07:00 - 21:00



日　祝:
07:00 - 21:00",なし,"総席数:
48


禁煙席:
48


喫煙席:

-"
https://sasp.mapion.co.jp/b/doutor/info/01010391/,ドトールコーヒーショップ 東武朝霞台店,埼玉県朝霞市浜崎９３３ 東武東上線朝霞台駅構内,048-473-5513,"平　日:
07:00 - 21:00



土曜日:
07:00 - 21:00



日　祝:
07:00 - 21:00",なし,"総席数:
40


禁煙席:
13


喫煙席:
27"
https://sasp.mapion.co.jp/b/doutor/info/01010392/,ドトールコーヒーショップ 尾山台店,東京都世田谷区尾山台３‐３４‐８,03-5706-6501,"平　日:
07:30 - 21:00



土曜日:
07:30 - 21:00



日　祝:
07:30 - 21:00",なし,"総席数:
37


禁煙席:
24


喫煙席:
13"
https://sasp.mapion.co.jp/b/doutor/info/01010394/,ドトールコーヒーショップ 盛岡大通り２丁目店,岩手県盛岡市大通２‐６‐１２,019-623-0843,"平　日:
07:30 - 22:00



土曜日:
08:00 - 22:00



日　祝:
08:00 - 20:00",なし,"総席数:
53


禁煙席:
45


喫煙席:
8"
https://sasp.mapion.co.jp/b/doutor/info/01010403/,ドトールコーヒーショップ 築地聖路加通り店,東京都中央区築地３-７-１ ＴＳＵＫＩＪＩ　ＧＲＡＮＤＥ,03-3544-1352,"平　日:
06:45 - 21:30



土曜日:
07:30 - 20:00



日　祝:
08:00 - 19:00",なし,"総席数:
92


禁煙席:
67


喫煙席:
25"
https://sasp.mapion.co.jp/b/doutor/info/01010409/,ドトールコーヒーショップ 仙台一番町３丁目店,宮城県仙台市青葉区一番町３‐１０‐２５ 一番街ビル,022-211-7691,"平　日:
06:45 - 21:00



土曜日:
07:30 - 21:00



日　祝:
08:00 - 21:00",なし,"総席数:
74


禁煙席:
40


喫煙席:
34"
https://sasp.mapion.co.jp/b/doutor/info/01010411/,ドトールコーヒーショップ 相鉄大和店,神奈川県大和市中央２‐１‐１ 相鉄大和駅構内,046-264-8852,"平　日:
07:00 - 21:00



土曜日:
07:00 - 21:00



日　祝:
07:00 - 21:00",なし,"総席数:
23


禁煙席:
23


喫煙席:

-"
https://sasp.mapion.co.jp/b/doutor/info/01010412/,ドトールコーヒーショップ 市ヶ谷駅前店,東京都千代田区九段南４‐８‐２７ 重盛ビル,03-3238-7631,"平　日:
07:00 - 20:00



土曜日:
08:00 - 20:00



日　祝:
08:00 - 18:00",なし,"総席数:
40


禁煙席:
26


喫煙席:
14"
https://sasp.mapion.co.jp/b/doutor/info/01010418/,ドトールコーヒーショップ 学芸大学店,東京都目黒区鷹番２‐１６‐１８,03-3715-2993,"平　日:
07:00 - 21:00



土曜日:
07:00 - 21:00



日　祝:
08:00 - 21:00",なし,"総席数:
49


禁煙席:
32


喫煙席:
17"
https://sasp.mapion.co.jp/b/doutor/info/01010420/,ドトールコーヒーショップ 台東４丁目店,東京都台東区台東４‐２８‐８ 跡部ビル１Ｆ,03-3835-0527,"平　日:
07:00 - 20:00



土曜日:
07:20 - 19:00



日　祝:
08:00 - 18:00",なし,"総席数:
38


禁煙席:
15


喫煙席:
23"
https://sasp.mapion.co.jp/b/doutor/info/01010422/,ドトールコーヒーショップ 西池袋１丁目メトロポリタン通り店,東京都豊島区西池袋１‐９‐１１ カーサ池袋１Ｆ,03-5396-8255,"平　日:
06:30 - 21:30




備　考:金曜日　6:30-22：30


土曜日:
06:30 - 21:30



日　祝:
06:30 - 20:30",なし,"総席数:
83


禁煙席:
26


喫煙席:
57"
https://sasp.mapion.co.jp/b/doutor/info/01010427/,ドトールコーヒーショップ 新宿アイランド店,東京都新宿区西新宿６‐４‐１ 新宿アイランドアトリウム１Ｆ,03-5323-4309,"平　日:
07:00 - 20:00



土曜日:
08:00 - 18:00



日　祝:
08:00 - 17:00",なし,"総席数:
37


禁煙席:
23


喫煙席:
14"
https://sasp.mapion.co.jp/b/doutor/info/01010434/,ドトールコーヒーショップ 吉祥寺元町通り店,東京都武蔵野市吉祥寺本町１‐８‐１０ 元町八番館ビル,0422-22-8257,"平　日:
07:00 - 22:00



土曜日:
07:30 - 22:00



日　祝:
07:30 - 22:00",なし,"総席数:
136


禁煙席:
103


喫煙席:
33"
https://sasp.mapion.co.jp/b/doutor/info/01010435/,ドトールコーヒーショップ 原宿竹下口店,東京都渋谷区神宮前１‐１７‐１ ルポンテビル１Ｆ,03-3470-3395,"平　日:
07:30 - 22:00



土曜日:
07:30 - 22:00



日　祝:
07:30 - 21:00",なし,"総席数:
28


禁煙席:
7


喫煙席:
21"
https://sasp.mapion.co.jp/b/doutor/info/01010436/,ドトールコーヒーショップ サンライズ蒲田店,東京都大田区西蒲田７‐６２‐４,03-3733-8599,"平　日:
07:30 - 21:00



土曜日:
07:30 - 21:00



日　祝:
07:30 - 21:00",なし,"総席数:
68


禁煙席:
25


喫煙席:
43"
https://sasp.mapion.co.jp/b/doutor/info/01010438/,ドトールコーヒーショップ 田原町駅前店,東京都台東区西浅草１‐１‐１６ カーサ田原町,03-3841-0943,"平　日:
07:30 - 21:00



土曜日:
08:00 - 20:30



日　祝:
08:00 - 20:30",なし,"総席数:
57


禁煙席:
24


喫煙席:
33"
https://sasp.mapion.co.jp/b/doutor/info/01010441/,ドトールコーヒーショップ 青森下田店,青森県上北郡おいらせ町中野平４０-１ イオンモール下田２Ｆ,0178-50-3241,"平　日:
09:00 - 21:00



土曜日:
09:00 - 21:00



日　祝:
09:00 - 21:00",なし,"総席数:
61


禁煙席:
61


喫煙席:

-"
https://sasp.mapion.co.jp/b/doutor/info/01010447/,ドトールコーヒーショップ 日暮里駅前店,東京都荒川区西日暮里２‐１９‐７ 東忠ビル１Ｆ,03-3801-7429,"平　日:
07:00 - 21:00



土曜日:
07:30 - 21:00



日　祝:
08:00 - 21:00",なし,"総席数:
63


禁煙席:
50


喫煙席:
13"
https://sasp.mapion.co.jp/b/doutor/info/01010451/,ドトールコーヒーショップ 原宿店,東京都渋谷区神宮前１‐１３‐１８ 第２大英ビル,03-3478-0323,"平　日:
07:00 - 22:30



土曜日:
07:30 - 22:30



日　祝:
07:30 - 21:30",なし,"総席数:
103


禁煙席:
82


喫煙席:
21"
